old_text|text|word|emoji|emoji_mean|lables
大年初一住了一晚，订的480的房间，相当相当不错。唯一的缺点，因为住的人少，显得有点冷清，但餐厅服务很好，没吃到自助餐，但点菜也很不错的，性价比很好(夫人是山西人，她说所有菜做得都没家里的好。那是当然的了)。宾馆就是个大公园，感觉非常好，但估计只适合开车去的朋友。打车去会很不方便，离市区也很远。美中不足的是离开的时候正好停电，前台居然就不能办checkout，可见员工应变能力较差。当时有一个应该是经理的在场，问了一下情况就让前台按客人自述退房(同时还有一家，都已经说明自己在餐厅有消费，没有其他消费)，但前台还是不给办，硬是等来电了才办理，多等了十五分钟。不爽!!服务给四星。|大年初一[MASK]了一晚，订的480的[MASK]，相当相当[MASK]。唯一的缺点，因为[MASK]的[MASK]，[MASK]有点[MASK]，但餐厅[MASK][MASK][MASK]，没[MASK]到[MASK]，但[MASK]也[MASK][MASK]的，[MASK][MASK][MASK]([MASK]是[MASK]，她[MASK]所有菜[MASK]得[MASK]没[MASK]的[MASK]。那是当然的了)。[MASK]就是个大公园，感觉非常好，但估计只适合开车去的朋友。打车去会很不方便，离市区也很远。美中不足的是离开的时候正好停电，前台居然就不能办checkout，可见员工应变能力较差。当时有一个应该是经理的在场，问了一下情况就让前台按客人自述退房(同时还有一家，都已经说明自己在餐厅有消费，没有其他消费)，但前台还是不给办，硬是等来电了才办理，多等了十五分钟。不爽!!服务给四星。|['住', '晚订', '房间', '不错', '住', '人少', '显得', '冷清', '服务', '很', '好', '吃', '自助餐', '点菜', '很', '不错', '性价比', '很', '好', '夫人', '山西人', '说', '做', '都', '家里', '好', '宾馆']|['🐷', '🥣', '💨', '⛔', '🐷', '\U0001f979', '🤣', '🥶', '🧑', '🪡', '🥵', '😋', '🔠', '😴', '🪡', '⛔', '🤫', '🪡', '🥵', '🧑', '🤕', '🥵', '👈', '\U0001fad8', '😯', '🥵', '💩']|['猪', '碗', '风', '禁', '猪', '忍', '笑', '冷', '父', '针', '烧', '吃', '字', '眠', '针', '禁', '静', '针', '烧', '父', '伤', '烧', '左', '豆', '缄', '烧', '便']|1
感觉价钱非常贵，房间还算干净，就是有股潮湿味道。设备东西都还蛮齐全的。感觉非常不错。早餐挺好的，吃得比较丰盛。周边也挺便捷。|[MASK][MASK]非常[MASK]，[MASK]还[MASK][MASK]，就是[MASK][MASK]味道。设备东西都还蛮齐全的。感觉非常不错。早餐挺好的，吃得比较丰盛。周边也挺便捷。|['感觉', '价钱', '贵', '房间', '算', '干净', '有股', '潮湿']|['🧑\u200d⚖️', '😯', '👾', '💨', '✊', '🧑\u200d⚖️', '👉', '🥵']|['官', '缄', '怪', '风', '拳', '官', '右', '烧']|1
因为看了之前的评论才定的这家酒店，没想到换来了一个惊喜，房间的大窗户对着小花园，没想到能住在苏州的园林里面，很安静，早上几乎是被鸟儿叫醒的。洗手间的设计很好，可以看到电视，衣柜的设计也是，简单方便实用。另外，28元的自助早餐太丰盛了，可能是这里是老牌涉外酒店的缘故，西餐很地道。补充点评2008年8月3日：楼上的是通过那里定的260含早的？比携程便宜呀，还可以免费升级，介绍一下。|因为看了之前的[MASK]才定的[MASK][MASK]，没想到[MASK]了[MASK][MASK]，[MASK]的大[MASK]对着[MASK][MASK]，没想到[MASK]在苏州的[MASK]里面，[MASK]安静，[MASK]几乎是被[MASK][MASK]的。[MASK]的[MASK]很好，可以看到电视，衣柜的设计也是，简单方便实用。另外，28元的自助早餐太丰盛了，可能是这里是老牌涉外酒店的缘故，西餐很地道。补充点评2008年8月3日：楼上的是通过那里定的260含早的？比携程便宜呀，还可以免费升级，介绍一下。|['评论', '这家', '酒店', '换来', '一个', '惊喜', '房间', '窗户', '小', '花园', '能住', '园林', '很', '早上', '鸟儿', '叫醒', '洗手间', '设计']|['🤫', '🪡', '🍺', '🤥', '🐜', '🤫', '💨', '🤥', '🤣', '🤙', '🥶', '😵\u200d💫', '🪡', '🧼', '🤣', '🤣', '😁', '👅']|['静', '针', '酒', '谎', '蚁', '静', '风', '谎', '笑', '话', '冷', '晕', '针', '皂', '笑', '笑', '嘻', '舌']|1
1.房境四人家庭房境非常理想，房格，有一足以可以容四人的大床、大人床，同，房亦到有半放式的睡眠，附有一客接，一千尺的房已有著林境及少水上的大露台，入房的第一刻真的被迷人的境而吸引，原定有密行程的我也有因著此而欲多留於房及酒店作息及享受。2.酒店修酒店境主突，就是「大自然物」，大堂感休，修很有特色，如:很花心思，以物本作，加上有一主及座的白虎林和火烈林都是很吸引人的地方，置身於必地方，我每次都很快。非常正！非常意休。3.支援服酒店游泳真是很藉得一到，一方面泳池面一般酒店大，人流不多，不需付，房客可前往，手。另方面，泳池放亦至十一，晚游也可以，真是很富。另方面，面泳池亦有健身室，有十多件常的器，最好的是有值同事教授及作支援。酒店客人各附近的票有惠，在是很重要的，亦提升了我的趣，不然最好完成理入住手後才票。4.交通配套:酒店有接巴士往返水上和州站。但建大家需事先向酒店查，因最奇怪的是乘的地方不是大或附近，而是在一蔽的地方，最好於抵酒店先去看看。因即使也不一定知道班期或很多候他都是建客人乘的士。5.整分:由於我不是旺季入住，加上我程房，合理，酒店人流少同又提升了我的享受程度，真正。且我地又一心一意「主攻」酒店附近的三施，「隆之旅」真叫我同行的四人都有一非常正的「叉」回同感受。|1.[MASK][MASK][MASK][MASK]非常[MASK]，[MASK]，有一[MASK]可以[MASK]的大[MASK]、大人床，同，[MASK][MASK]到有[MASK]的[MASK]，[MASK][MASK]接，一[MASK]的房[MASK][MASK]及[MASK][MASK]的大[MASK]，[MASK]的第一[MASK][MASK]被[MASK]的[MASK]而[MASK]，[MASK][MASK][MASK]的我也有[MASK]而[MASK]多[MASK][MASK][MASK][MASK][MASK]及[MASK]。2.[MASK][MASK][MASK][MASK]，就是「大自然[MASK]」，大堂[MASK]，[MASK][MASK]有特色，如:[MASK][MASK]，[MASK]本作，[MASK]有[MASK][MASK]的[MASK][MASK]和火烈林都是很吸引人的地方，置身於必地方，我每次都很快。非常正！非常意休。3.支援服酒店游泳真是很藉得一到，一方面泳池面一般酒店大，人流不多，不需付，房客可前往，手。另方面，泳池放亦至十一，晚游也可以，真是很富。另方面，面泳池亦有健身室，有十多件常的器，最好的是有值同事教授及作支援。酒店客人各附近的票有惠，在是很重要的，亦提升了我的趣，不然最好完成理入住手後才票。4.交通配套:酒店有接巴士往返水上和州站。但建大家需事先向酒店查，因最奇怪的是乘的地方不是大或附近，而是在一蔽的地方，最好於抵酒店先去看看。因即使也不一定知道班期或很多候他都是建客人乘的士。5.整分:由於我不是旺季入住，加上我程房，合理，酒店人流少同又提升了我的享受程度，真正。且我地又一心一意「主攻」酒店附近的三施，「隆之旅」真叫我同行的四人都有一非常正的「叉」回同感受。|['房境', '四人', '家庭', '房境', '理想', '房格', '足以', '容四人', '床', '同房', '亦', '半放式', '睡眠', '附有', '一客', '接一', '千尺', '房', '已有', '著林境', '少', '水上', '露台', '入房', '刻', '真的', '迷人', '境', '吸引', '原定', '有密', '行程', '因著此', '欲', '留', '於', '房及', '酒店', '作息', '享受', '酒店', '修', '酒店', '境主突', '物', '感休', '修', '很', '很', '花心思', '以物', '加上', '一主及', '座', '白虎', '林']|['💨', '😔', '😯', '💨', '🍐', '💨', '🦶', '\U0001fae0', '🤥', '\U0001fae0', '🐜', '💩', '👹', '🧑', '🐜', '🪢', '😗', '💨', '🐜', '🐷', '🥵', '👹', '🦌', '🪱', '🉑', '🪡', '😝', '🤫', '😁', '😵\u200d💫', '👉', '🤫', '🦅', '\U0001fae4', '🎁', '\U0001fae4', '💨', '🍺', '👈', '🤔', '🍺', '😚', '🍺', '🤫', '🛖', '🧑\u200d⚖️', '😚', '🪡', '🪡', '🤙', '🐜', '😯', '🐜', '👈', '💯', '\U0001fab7']|['风', '思', '缄', '风', '梨', '风', '足', '融', '谎', '融', '蚁', '便', '食', '父', '蚁', '结', '亲', '风', '蚁', '猪', '烧', '食', '鹿', '蠕', '可', '针', '眯', '静', '嘻', '晕', '右', '静', '鹰', '郁', '礼物', '郁', '风', '酒', '左', '想', '酒', '羞', '酒', '静', '屋', '官', '羞', '针', '针', '话', '蚁', '缄', '蚁', '左', '百', '莲']|1
1、服务人员态度和意识很好；2、早餐品种花样多，口感好；3、下次到太原还住此酒店。|1、[MASK][MASK]态度和[MASK][MASK][MASK]；2、早餐品种花样多，口感好；3、下次到太原还住此酒店。|['服务', '人员', '意识', '很', '好']|['🧑', '\U0001f979', '🐜', '🪡', '🥵']|['父', '忍', '蚁', '针', '烧']|1
离海边很近，但是房间的装修已经不是很新（海景房，1号楼），老式的宾馆，老式的服务。适合要求方便，但对房间设施不挑剔，要求不是太高的朋友补充点评2006年9月3日：比较过分的是所谓“海景房”（还要多加90元的）外面竟然首先是个堆放垃圾桶、扫把、拖把和打扫卫生者晾晒裤子的晒台，之后是个树林，再远处才是海，不知道这样的房间叫“海景房”合适不合适？；房间内霉味较重，打开窗户跑味半天时间也用处不大，个别墙壁角落处有霉点；床单、被褥的洁净程度很一般，比小旅馆还是要强，床看起来不是很平，但是睡着还凑活；枕套两套，上面的还算白（但是有洗不掉的污迹），下面稍灰；刚进入房间后不满霉味和所谓“海景”提出换房，当值的中年男人推诿多次无果，答应有退房的换，后来竟然告知一天都没有人退房。管理水平很一般，当然是和类似的小地方比，办手续的速度很慢，前台电脑里没有管理系统，竟然用的是word，好歹用个excel吧！这种管理落后的宾馆建议ctrip除名，要不以后怎么让人相信你们？|离海边[MASK]，但是[MASK]的[MASK]已经[MASK]是[MASK][MASK]（海景房，1[MASK]），[MASK]的[MASK]，[MASK]的[MASK]。[MASK]要求方便，但对[MASK][MASK][MASK][MASK]，要求[MASK]是太高的[MASK][MASK][MASK]2006年9月3日：比较[MASK]的是所谓“海景房”（还要多加90元的）[MASK][MASK]首先是个堆放垃圾桶、[MASK]、拖把和打扫卫生者[MASK][MASK]的[MASK]，之后是个[MASK]，再[MASK]才是海，不知道这样的[MASK]叫“海景房”[MASK]不[MASK]？；[MASK]霉味较[MASK]，打开[MASK][MASK]半天时间也用处不大，个别墙壁角落处有霉点；床单、被褥的洁净程度很一般，比小旅馆还是要强，床看起来不是很平，但是睡着还凑活；枕套两套，上面的还算白（但是有洗不掉的污迹），下面稍灰；刚进入房间后不满霉味和所谓“海景”提出换房，当值的中年男人推诿多次无果，答应有退房的换，后来竟然告知一天都没有人退房。管理水平很一般，当然是和类似的小地方比，办手续的速度很慢，前台电脑里没有管理系统，竟然用的是word，好歹用个excel吧！这种管理落后的宾馆建议ctrip除名，要不以后怎么让人相信你们？|['很近', '房间', '装修', '很', '新', '号楼', '老式', '宾馆', '老式', '服务', '适合', '房间', '设施', '不', '挑剔', '朋友', '补充', '点评', '年月日', '过分', '加元', '外面', '竟然', '扫把', '晾晒', '裤子', '晒台', '树林', '远处', '不', '房间', '合适', '不', '合适', '房间内', '重', '窗户', '跑味']|['🪡', '💨', '🤥', '🪡', '🫀', '🥵', '🧓', '💩', '🧓', '🧑', '👹', '💨', '👅', '⛔', '🤣', '🥶', '⛔', '😴', '😴', '🍎', '😯', '🧦', '🤫', '🥵', '🤔', '😢', '🥵', '✋', '😵\u200d💫', '⛔', '💨', '🙂', '⛔', '🙂', '💨', '🤩', '🤥', '💬']|['针', '风', '谎', '针', '心', '烧', '老', '便', '老', '父', '食', '风', '舌', '禁', '笑', '冷', '禁', '眠', '眠', '果', '缄', '袜子', '静', '烧', '想', '哭', '烧', '手', '晕', '禁', '风', '呵', '禁', '呵', '风', '崇', '谎', '泡']|0
超乎寻常之差，怎么评的三星不知道，按说就那设施水平连县级招待所都不如。房间巨窄，洗手间就纯一厕所，连个放物品的台子都没有，地漏巨容易堵，刚洗5分钟就水漫金山。总之，设备过于陈旧，建议各位驴友切勿上当。|[MASK][MASK]，怎么[MASK]的[MASK][MASK]知道，按说就那[MASK][MASK]连[MASK][MASK][MASK]不如。[MASK]巨窄，洗手间就纯一厕所，连个放物品的台子都没有，地漏巨容易堵，刚洗5分钟就水漫金山。总之，设备过于陈旧，建议各位驴友切勿上当。|['超乎寻常', '之差', '评', '三星', '不', '设施', '水平', '县级', '招待所', '都', '房间']|['🥵', '🦵', '🤫', '🧄', '⛔', '👅', '👹', '🤣', '😉', '\U0001fad8', '💨']|['烧', '肢', '静', '蒜', '禁', '舌', '食', '笑', '眨', '豆', '风']|0
预订的时候没注意酒店正在修理的提示，结果最有特色的楼顶泳池没享受到，好遗憾。希望类似情况携程要标识的清楚一些。|[MASK]的时候没注意[MASK]正在[MASK]的提示，结果[MASK]特色的楼顶[MASK]没[MASK]到，好遗憾。希望类似情况携程要标识的清楚一些。|['预订', '酒店', '修理', '最有', '泳池', '享受']|['\U0001fae4', '🍺', '😚', '👄', '\U0001fae0', '🤔']|['郁', '酒', '羞', '嘴', '融', '想']|1
海悦的总体服务质量最近有所下降，我看到的几个地方是：1.一层bar的蛋糕、咖啡明显缩水，比一年前的口感和大小有很大下降2.我订的行政大床房，感觉和以前的普通大床房没任何区别，价格还贵了1003.行李房常常没人，寄存行李要等一会儿|海悦的[MASK][MASK]最近有所[MASK]，我看到的[MASK]地方是：1.[MASK]bar的[MASK]、咖啡明显[MASK]，比[MASK][MASK]的口感和大小有[MASK]下降2.我订的行政大床房，感觉和以前的普通大床房没任何区别，价格还贵了1003.行李房常常没人，寄存行李要等一会儿|['总体', '服务质量', '下降', '几个', '一层', '蛋糕', '缩水', '一年', '前', '很大']|['\U0001fae0', '🧑', '🤣', '🤪', '🐜', '🥚', '🔒', '🐜', '😗', '🪡']|['融', '父', '笑', '稽', '蚁', '蛋', '锁', '蚁', '亲', '针']|1
住的标准单人间实在是小，房间里一张大床已经塞得满满的了，设施极其简陋除了电视机和烧水壶其他什么都没有，说是四星级标准实际还达不到中等三星级的水平。最差的是酒店临街，大堂居然有三个门而且只有正门有人看，测门对着酒店电梯任人自出自如，半夜三更也不上锁，安全太差。|[MASK]的[MASK][MASK][MASK]是小，房间[MASK][MASK]大床已经塞得[MASK]了，[MASK][MASK][MASK]除了[MASK]和[MASK][MASK]其他什么都没有，说是四星级标准实际还达不到中等三星级的水平。最差的是酒店临街，大堂居然有三个门而且只有正门有人看，测门对着酒店电梯任人自出自如，半夜三更也不上锁，安全太差。|['住', '标准', '单人间', '实在', '小房间', '里', '一张', '满满的', '设施', '极其', '简陋', '电视机', '烧', '水壶']|['🐷', '🤣', '🥚', '👹', '🤣', '🍐', '🐜', '😴', '👅', '🤪', '😴', '😴', '🥵', '👹']|['猪', '笑', '蛋', '食', '笑', '梨', '蚁', '眠', '舌', '稽', '眠', '眠', '烧', '食']|0
去年10月去九寨沟时住过，感觉很好！今年再和同事去，觉得服务差了。宾馆反馈2008年5月27日：希望客人对我们的服务提出宝贵的意见和建议，做的不够好的地方，我们很乐意接受客人的批评|去年10[MASK]去[MASK][MASK]过，[MASK][MASK][MASK]！今年再和[MASK]去，觉得[MASK][MASK]了。[MASK]反馈2008年5月27日：希望客人对我们的服务提出宝贵的意见和建议，做的不够好的地方，我们很乐意接受客人的批评|['月', '九寨沟', '时住', '感觉', '很', '好', '同事', '服务', '差', '宾馆']|['🈷', '🍺', '👹', '🧑\u200d⚖️', '🪡', '🥵', '\U0001fae0', '🧑', '\U0001fab9', '💩']|['月', '酒', '食', '官', '针', '烧', '融', '父', '巢', '便']|1
交通方便，服务到位。晚上11点多的时候，我们发现饮用水喝完了，给服务台打了个电话，马上就送来了。后来又打电话要东西，也是很快就送到了。态度非常好。只是有一点，为什么送水上来的是阿姨，而送拖鞋来的却是大叔呢？不公平呢！|[MASK]方便，[MASK]。[MASK]11[MASK]的时候，我们发现[MASK][MASK]了，给[MASK]打了个[MASK]，[MASK]就送来了。后来又打电话要东西，也是很快就送到了。态度非常好。只是有一点，为什么送水上来的是阿姨，而送拖鞋来的却是大叔呢？不公平呢！|['交通', '服务到位', '晚上', '点多', '饮用水', '喝完', '服务台', '电话', '马上']|['🤣', '🧑', '🥣', '😴', '🦅', '🙂', '🧑', '😴', '🐴']|['笑', '父', '碗', '眠', '鹰', '呵', '父', '眠', '马']|1
