text	label
"Attractive husband and wife writing team Robert Wagner (as Joel Gregory) and Kate Jackson (as Donna Gregory) arrive at the spooky mansion of actress ""Lorna Love"" (actually, silent film star Harold Lloyd's house). Mr. Wagner and Ms. Jackson are contracted to write the silent movie star's biography. Wagner has a personal interest in the project, since his father was once the famed star's lover. Mysterious events unfold, and Jackson must fight to save her husband from the spirit of the beautiful blonde, who is ""perfectly preserved"" in a crypt on the estate; moreover, the evil woman seems bent on possessing her husband, and murdering Jackson! <br /><br />This is very much a ""Night of Dark Shadows"" variation, co-starring genuine ""Dark Shadows"" alumni Kate Jackson, who knows and plays her part well. Robert Wagner lacks David Selby's intensity. Sylvia Sidney (as Mrs. Josephs) sidesteps Grayson Hall. Marianna Hill is not a match for Lara Parker (or Diana Millay). Bill Macy (as Oscar Payne) is good in a part that would have been played by John Karlen (in a Dan Curtis production).<br /><br />There are smooth cameos by Joan Blondell, John Carradine, and Dorothy Lamour. Ms. Lamour's delivery resembles Joan Bennett, which begs the question: why didn't producer Aaron Spelling get more of the original ""Dark Shadows"" regulars? <br /><br />Director E.W. Swackhamer was Bridget Hanley's husband; he worked with Ms. Blondell on ""Here Come the Brides"", and with Jackson on ""The Rookies"". ""Death at Love House"" has, arguably, a tighter storyline than the ""Night of Dark Shadows"" film; it differs in the movie star angle; and, in its ""Father Eternal Fire"" ending, it more closely resembles the TVseries' ""Laura the Phoenix"" storyline. <br /><br />**** Death at Love House (9/3/76) E.W. Swackhamer ~ Robert Wagner, Kate Jackson, Sylvia Sidney"	0
"This year's Eurovision was to me a big disappointment. I've watched the Eurovision Song Contest every year since 1986 (well, at least that's the earliest one I can remember, and I was only 2 at the time). As any other year this one contained both good, bad and horrible songs - nothing new there. However this year's show was the worst one I can remember. Only very few good (decent's probably more like it) songs and a lot of absolutely terrible songs.<br /><br />Turkey's winner song ""Every Way That I Can"" sounded to me like a rip-off of Turkish singer Tarkan's hit ""Simarik"", just sounding a lot worse. It didn't deserve to win from my point of view. Belgium's song ""Sanomi"", coming in second, was a no-language song. Wonder what's next? Animals singing? Nevertheless the music for the song was quite catchy, giving the song a kind of dreamy feeling, to which the ""lyrics"" seemed appropriate. One of the better songs, but that's not saying much.<br /><br />After one of the closest races in Eurovision history Russian duo t.A.T.u. ended in third place just three points behind Turkey and behind Belgium, with ""Ne Ver', Ne Boisia"" (""Don't Trust, Don't Be Afraid""). To me t.A.T.u. was one of the very few highlights of the show, surprising just about everyone by being some of the most covered up girls of all the female contestants. They let their song do the talking and if we ignore the fact that they failed to pitch a few times in the first chorus, they let the song speak very well indeed.<br /><br />The biggest surprise when looking at the scoreboard was Austria. The bookmakers here in Denmark had the biggest odds on that song - a song that indeed was beyond horrible - but ended up in 8th place. Could it be that bum of his being shaken to the rhythm of the song? That performance was the one that made me and my family laugh the most, not because it looked good, but because it looked so stupid that it was actually fun.<br /><br />Sweden did what they do the best; ABBA. In 1999 they won with ""Take Me To Your Heaven"", by sounding like ABBA. In 2001 they made the top 10 with ""Listen To Your Heartbeat"", again sounding like ABBA, and once again this year they did it ABBA-style, again ending in the top 10.<br /><br />England was finally punished for making those absolutely horrible, non-catching songs, that they've been the past years.<br /><br />Ireland ripped off the winner from 2000, ""Fly On The Wings Of Love"". And I could go on and on about how bad the songs were.<br /><br />I feel a bit sorry for the Aussies, who this year finally got the chance to see the Eurovision Song Contest. They deserved better than this.<br /><br />I wasn't surprised by the show though. The Eurovision from 2000 to me stands out as one of the best in recent years. 2001 was quite good, but not as good. 2002 was okay, but certainly no more. This year was quite simply disappointing.<br /><br />Let's hope it'll get better next year. If not for us, then at least for the Aussies.<br /><br />4/10. One for t.A.T.u., one for the close race, one for the butt-shaking and one for all the rest."	0
"""Tourist Trap"" is a genuinely spooky low-budget horror film that will surely satisfy horror fans.It contains extremely strange atmosphere and there are some quite unnerving moments of total dread and fear.Some scenes are downright bizarre for example there is one scene when Chuck Connors sits down to have dinner with a mannequin that comes to life and starts conversing with him before its head falls off.There is very little gore,but the violence is quite strong for PG-rated horror film.The mannequins look very sinister and the climax is horrifying.David Schmoeller returned to make several other genre films including ""Crawlspace"",""Puppet Master"" and ""Netherworld"".Still ""Tourist Trap"" is definitely his best horror film,so if you want to be scared give this little gem a look.<br /><br />Rated PG for Brief Nudity, Violence and Profanity."	1
"A great animation movie that really gets up to the level of oldies like ""The Lion King"" . <br /><br />I went to see this with one of my best Belgian friends who also watched the series on TV . I was lucky because I didn't know people in Belgium were aware of ""Wallace and Gromit"" . <br /><br />When it started and that good old theme started it started to bring back memories of me watching it when I was 5 .<br /><br />The humor itself was very funny . Some nice sitcom style scenes , some wordplay or just plain jokes . The animation isn't as impressive if you have know the series but it is still fun to watch is you realize how it gets done. <br /><br />My Conclusion : Not only can it keep my happy and entertained , some of the humor can easily appeal to older people so I say : Go and watch ""Curse of The Were-Rabbit"" as soon as you can ."	1
Look at the all the positive user comments of this movie, then check to see how often each one posts user comments. They post once. It seems companies are probably paying for services which post junk pro-movie comments on IMDb.<br /><br />This movie was awful. The plot was stupid. The acting was poor. The jokes weren't even funny. The movie included minor nudity from what looked like porn actresses but none of the other characters.<br /><br />It was clear from the first 15 minutes that movie wasn't funny. There was some slapstick here and there but most of humor was supposed to be derived from the characters talking behind each other's back and spreading rumors. This isn't even done well. Every joke is obvious and you see it coming.<br /><br />The movie is worthy of fast forwarding or better yet not watching.<br /><br />I regret watching this movie and if I could charge the studio and distributor for 1.5 hrs they stole from me I would.	0
"Alright! A sci-fi/horror/action B-hybrid directed by Jim Wynorski and in the final scenes we get to see a cyborg with a defleshed metal head killing off multiple people! As with any Wynorski-flick, he throws in a whole bunch of crazy ideas and subplots that mostly don't lead to anywhere. But ""Storm Trooper"" is more like a two-movies-for-the-price-of-one kind of deal. On the one hand we got the drama/thriller part (as such the film opens) with Carol Alt killing her incredibly annoying & ungrateful husband (a plot that simply leads to nowhere). And on the other hand we got the 'escaped cyborg on a rampage' part, ""Night of the Living Dead""-style. With Carol and the Cyborg being the ones trapped inside the house and a bunch of special OPs/bounty hunters playing the role of the zombies, trying to break into the house. Needless to say this flick is not up there with the greatest. Zach Galligan (of ""Gremlins""-fame) especially is painfully bad and Corey Feldman (in a small supporting roll) is once again completely wasted on this movie. Wynorski even rips off one of his own movies here, since I am 99% sure he used some stock footage of his previous film ""976 EVIL II"" (the scene with the exploding truck and the motorcycle). Yes, it's so not good and so much fun. This is strictly for Wynorski-fans only. And I am one of them, in case you didn't know already."	0
<br /><br />`The Last Frontier' is a superior western that overcomes numerous deficiencies in weaving its tale of trappers Jed (Victor Mature), Gus (James Whitmore) and Mongo (Pat Hogan) and their relationships with the army, particularly Captain Riordon (Guy Madison), Colonel Marston(Robert Preston) and Corrina Marston, colonel's wife (Anne Bancroft). Hired as scouts after losing their supplies to the Indians, Jed, Gus and Mungo adjust to living the `civilized' life within a fort on the edge of the `last frontier.' Jed, who has been raised by Gus, both inspires and looks up to the `older' Gus and Mungo, and has an especially difficult time dealing with `civilization.' His real problems start after he becomes strongly attracted to the colonel's wife, Corrina. Colonel Marstonis a reckless man, who endangers every one around him with his dreams of ruthless victory over any opponent. Corrina, a woman repressed by her station and sense of responsibility, loves her husband for what he could be and Jed for what he is. Caught in the middle is Captain Riordon, a brave and likeable man torn among his duty to the army, his strong friendship with Jed and his fear of the likely disastrous consequences of the colonel's recklessness. <br /><br />What makes this movie so interesting (as well as entertaining) is that, in most cases the weaknesses and the strengths of `The Last Frontier' are EXACTLY the same elements (forget the insipid title and dated music)<br /><br />First, the screenplay. Almost all of the subplots (particularly, the reckless Colonel) have been done better elsewhere, but have rarely been assembled with such eccentricity. Just when you THINK you know what is going to happen next, this one takes off in a DIFFERENT direction. POSSIBLE SPOILER: `The Last Frontier' being a `Production Code' movie (back in the day the word `virgin' was taboo), it's very surprising that the adultery factor was handled in such a mature, tolerant manner. I expected either Jed or the colonel's wife to reap some retribution for their sin. I was surprised and a little disappointed the movie didn't exploit that expectation to create a less predictable ending.<br /><br />Second, the casting. Mature is at least ten years too old to play the part of Jed, the wild-eyed innocent raised in the woods'. James Whitmore, who plays Gus, `the man who raised Jed' is actually five years younger than Mature. Nevertheless, Mature is very endearing, playing a character who is innocent of civilization but is in no way stupid. Although there were several actors who could have played the role at the time (most notably, Burt Lancaster and Kirk Douglas), none could have played Jed better. Preston (also Mature's junior) plays Colonel Marston, missing the tics and affectations one would expect from such a driven man. However, Preston perfectly captures the sense of honor someone must have seen in Marston to promote such a reckless fool to colonel's rank. Bancroft is an especially shrewd choice as Corrina. Bancroft's dark hair has been died blonde, and this achieves the same effect as it did for Winona Ryder (`Edward Scissorhands') and Christina Ricci (`Sleepy Hollow'). That is, I felt conflicted about the character without knowing exactly why; I believe the answer is that blondes and brunettes have considerably different skin tones and eye shades. Further, Bancroft has always projected a toughness that borders on hardness (here the blonde hair softens her up a bit, though). This enables the 24 year old Bancroft to stand toe to toe with both the 40 year old Mature and the 37 year old Preston; yep, she could be a colonel's wife. Madison walks a careful balancing act as Riordan, handling a complex role and sometimes ackward dialogue.Playing a role similar to that of John Wayne in `Fort Apache' Madison does a more skillful job at it.<br /><br />This movie has a `Silverado' type camaraderie. That alone makes it worth seeing. It also has memorable performances, beautiful scenerary and great action and direction. I just hope a letterbox version is available (many have been lost), because this movie takes full advantage of that format.	1
"I've been intrigued by this film for a while, in part because of the extremely high score here on IMDb -- a 9.0 average with over 300 votes gives it the highest rating of any accessible silent film! How had I not heard of this film before this website? Well, you can't always trust the ratings. This is actually a very good film, preserved quite well if the fine VHS transfer I rented is any indication -- excellent acting by the principals, especially William Haines as Brown, and good location work at Cambridge with some fine action footage in the climactic Harvard/Yale football game -- but the story must have seemed a hoary chestnut even in 1926. Obnoxious, self-centered and charismatic guy goes to school and gets put in his place, becoming in the process a caring, self-sacrificing friend; I doubt people in 1926 found much that was really exciting in the last few reels, the predictability factor is high. Still, it starts out very well, and is certainly deserving of being remembered, if not praised to the heavens. Maybe the previous 350 voters are mostly Harvard men...<br /><br />EDIT Now 600+ voters and the score has actually climbed to 9.2! Seriously, folks, there is ballot-stuffing going on here - I defy anybody to explain why this is a better film than ""Metropolis"" or ""The General""!"	1
Duckman was a show that used to be on during the last hour or so before it was time to sleep about ten or so years ago. It was a contrast to a lot of the kid-type of animation I was watching at the time; I was still a minor junkie for Disney and Looney Tunes stuff, and most Saturday morning cartoons were still on the run-off of the peak from the days of Ninja Turtles and Batman. But also around this time I began to recognize that the more raunchy, mature, surreal, obscene, and (though I didn't know the term at the time) satirical cartoon shows were more creative than the stuff I was used to. Around the time of Beavis and Butt-head, Ren and Stimpy, and even The Maxx were hitting TV sets via MTV, USA put out two shows- one of them was Weird Science, and the other was Duckman. I've always remembered a few key bits from the show, and some of the lines are very quotable to those who haven't forgotten it completely. Luckily, I found a tape recently with about six episodes I taped long ago, and the jokes stayed very fresh. And the delivery of the jokes are rapid-fire a lot of the time in the better episodes. <br /><br />In the voice department, the choices in talent are top notch for the story-lines, which are usually just an excuse for crude, fascinating parodies of pop-culture, politics, movies and TV shows, music, detective mysteries, and the dysfunctional family unit. Jason Alexander is a wonderful choice for Duckman, and his performance is a comedic 180 from his days on Seinfeld (even if there might be some similar characteristics here and there). Also, the voices of Gregg Berger as the unmistakably monotoned and deadpan Cornfed, Dweezil Zappa as the hilariously inept Ajax, and Nancy Travis as the sex-starved, obnoxious Sister-in-Law Bernice, all contribute in a full amount. Along with some great writing - even when a joke isn't sure-fire, the wit behind it compensates - the animation style, while a far cry from some of the refurbished, computer-enhanced product of today, is inventive and often abstract. It has that home-made, gritty quality that Beavis and Butt-head or South Park would later have. And, like those shows, if you're a little kid, I mean little as in younger than I was watching the show, you may not understand most of the jokes (i.e. there are enough stripper and VD references to fill two shows sometimes). But it's inventive to catch if it's on TV late at night, and it functions rather well in that time slot. One can only hope for a DVD box set. <br /><br />So, to no one who's barely or even never heard of this program, here's a general note: think of this show as if Dashiell Hammett met up with Walt Disney and decided to go to slum part of Vegas with a free mini-bar and make a collaboration in the vein of Luis Bunuel and The Simpsons combined. Not to mention, it's by the group that did Rugrats.(strong) A	1
As if there weren't enough of those floating around at the time already, we have here another lame GODFATHER clone from the director of IL CONSIGLIORI (1973) which I had watched earlier this year. The marquee-value name roped in this time is Telly Savalas who belatedly enters the proceedings and is first seen from behind, rather campily tending to his flowers and wearing a beret in the style of French painters! Apart from not looking minimally Sicilian, he sports no accent of any kind other than his familiar drawl. Antonio Sabato, then, makes for an unlikely gangster - apart from being a resistible leading man; his relationship with Savalas, which becomes paternal at the flick of an eye, is also unconvincing (especially since he subsequently becomes romantically involved with the latter's spirited teenage niece)! Besides, for a gangster flick, there's precious little action to speak of and none of it is in any way memorable (though the finale set in a clinic is well enough handled); furthermore, the score by Francesco De Masi is serviceable but nothing else. Incidentally, the bargain-basement DVD I rented starts off midway through the credits so that none of the cast members - or even the film's title - is ever listed!	0
Lots of flames, thousands of extras in battle scenes, lots of beautiful sets. I don't think the plot supported such a vast expenditure. The story could have been told far more effectively and have been more valid, psychologically if there weren't so much macho bombast in the production. Chinese movies tend to be this way, in my experience. and I think this detracts from the film.	0
"This show was a landmark in American comedy as it was the first sitcom to star an all Afro-American cast. Sadly though it was never broad-casted on British TV.<br /><br />The Evans family are a poor Afro-American family living in a tower block. The Dad is called James, he tries to run the house, but his wife Florida always gets the better of him. The three children are the artistic JJ, the moody Thelma and the young intellectual child Michael. Always coming into the house is Florida's gossipy friend Willona.<br /><br />I watched two episodes of this show on youtube (Black Jesus and Sex and the Evans Family- the only two on the site). You may be thinking why has an English viewer watched a series that has never been shown or hardly heard of in his country. The answer is this. In 1976, Britains first all black sitcom came out called ""The Fosters"" Only two series were made and it now seems forgotten. But I watched an episode and was really impressed. Then I learnt that the scripts were identical to ""Good Times"". They were exactly the same characters but with different names- Sam Foster was the Dad, his wife was Pearl Foster and the three children were Sonny (a young Lenny Henry), Shirley and Benjamin. Pearl's gossipy friend was Vilma. (To read about The Fosters, I have wrote a review about that). Whilst watching ""Good Times"" only two things annoyed me. First off was the opening theme tune (awful) and secondly was the audience laughter. I like audience laughter, but in this somebody would say a slightly funny line and the audience would go mad and start clapping. Apart from that it was a very funny show. Let's hope more episodes turn up on youtube and lets hope that someone will release ""The Fosters"" on DVD in England.<br /><br />Best Episode: Sex and the Evans family- Series 1 episode 6. The Foster's episode of it was called Sex in the Black Community. The other episode I saw, Black Jesus was a title of one episode of ""The Fosters"""	1
"I still can't believe that Wes Craven was responsible for this piece of crap.This movie is worse than ""Deadly Friend"".The plot is stupid,the acting is mediocre and the film is deadly dull.I don't know why Wes Craven hates his debut ""Last House on the Left""-an absolute masterpiece of the genre and likes(probably)this turkey.Don't get me wrong,I really like some of his movies,but it was a real torture sitting and watching this."	0
"Let's see. In the ""St. Elsewhere"" finale we found out that there was no hospital and that every thing had been in the mind of an autistic child. ""Newhart"" ended by telling us that it had all been a dream. And ""Roseanne"" ended by telling us that it all had taken place in her mind. Very ""creative"". Annoying was more like it. Yes, it was just a TV show and wasn't at all reality. It's just that when you get caught up in a great movie or TV show you end up at least wanting to believe that it's all ""real"". At least as far as the reality it portrays on screen. This type of series finale had been done twice before and was old hat, frustrating and simply not fun to watch. Now ""Newhart"" being all a dream? At least done in a creative way that far exceeded the expectations of anyone who loved the show. The idea itself was not too engaging but it was so brilliantly done that its arguably the Best Series Finale Ever. Roseanne left me feeling cheated after being such a loyal fan."	0
This was probably the worst movie i have ever seen in my life!! It was stupid there was no plot and the special affects were ridiculous!! And i have never seen such bad acting in my life! The only good part about the movie were all the hot guys(especially Drew Fuller). I don't know what these people were thinking when they made this movie!! I didn't even want to finish the whole thing because you get to this point in the movie where the guys are all in bed touching themselves. I mean it was like some kind of sick and twisted kiddy porn! I would advise anyone who has heard of this movie and was interested in seeing it to just forget about it and find another movie to watch! I was very disappointed!! The whole movie was a complete waste of time in my opinion.	0
"I saw this movie for the first time a little over a year ago. I've seen it 4 more times since. I had never heard of it before and I consider myself knowledgeable of classic cinema. A true, polished, diamond in the rough.<br /><br />This gem of a movie revolves around Jon Voight (lead character ""Conrack"") as a young schoolteacher assigned to Yamacraw Island to teach the islands' children, all in one school. At first, the students reveal they know very little of the world beyond their island home. The heart of the movie is Conrack finding inspiration to awaken their young minds to the world around them. The students quickly reward their teacher with an eagerness to learn and a remarkable ability to grasp concepts that, only a short time before, had been foreign to them. Conrack uses unconventional and clever teaching techniques that happen to be, oh a little fun! God forbid. Learning AND fun? Together? Can't be, or so says the ones in charge. To avoid a spoiler, I shall just say that Conrack finds resistance with the boss man....and the ending is truly bittersweet.<br /><br />I am a 35 year old white male with some teaching experience, so I should identify with the lead character, Pat Conroy (aka, Conrack, Mr. Petroy). But I don't, I identify with the black kids. As a kid, I was bussed to the school on the other side of town from the 4th to the 6th grade, circa 1979. These kids in the movie remind me of my classmates then. Luckily, in 4th grade as a 8 or 9 year old, one doesn't understand racism. I just remember we were all being kids, playing 4-square, kickball, hide-and-seek, and running relays.<br /><br />This movie is very moving. There are delightful and poignant moments from beginning to end, non-stop. I found myself many times with tears in my eyes, then suddenly laughing out loud. It's a funny movie.<br /><br />""Git away from that winda!!"".... ""Sir, if you're prepared to accept crap, I should tell you that rabbit just did it in your lap.""..... ""So, you the white schoolteacher, Mr. Conrack. My grands LOVE Mr. Conrack. You a good looking teacher, you a good looking white man.""..... ""wind 15 mph from the east. Small boat warning. Small boats beware. Big boats OK, don't gotta worry 'bout nothing."".... ""not a fry cook, but Eleanor Roosevelt, not a share-cropper, but (something Latin)...that's Latin..hey wait!"".... ""Conrack sing like a frog....I sing good, whatcha talkin' 'bout?!"".<br /><br />It still mystifies me that I still hear nothing about this movie or that it has very little reputation or following. I intend to seek out more reviews, comments, background, and ""making of"" tidbits, if they are out there. What amazes me is the acting given from the untrained kids. One of the kids, Mary, I understand was an actress, and you can tell. However, the other kids have plenty of lines and genuine reactions. I wonder how they did it! I'm guessing that Conrack and Mary had precise dialogue to work with while some of the scenes unfold naturally or ad-libbed.<br /><br />Conrack is a special movie. In my opinion, it is one of the very few movies that are so good AND so unknown. Others in that category are King Rat ('65), Dark Passage ('47 with Bogie and Bacall), Gods Must Be Crazy ('80), and Bad Day at Black Rock ('55). I recommend them all. But first, take a seat in the class of Mr. Conrack."	1
